CMDLINE 22536
MEM 3.417969 1714303945.5332
MEM 3.417969 1714303945.6335
MEM 3.417969 1714303945.7339
MEM 3.417969 1714303945.8343
MEM 3.417969 1714303945.9346
MEM 3.417969 1714303946.0350
MEM 3.417969 1714303946.1357
MEM 3.417969 1714303946.2363
MEM 3.417969 1714303946.3368
MEM 3.417969 1714303946.4377
MEM 3.417969 1714303946.5383
MEM 3.417969 1714303946.6391
MEM 3.417969 1714303946.7393
MEM 3.417969 1714303946.8397
MEM 3.417969 1714303946.9400
MEM 3.417969 1714303947.0403
MEM 3.417969 1714303947.1406
MEM 3.417969 1714303947.2409
MEM 3.417969 1714303947.3413
MEM 3.417969 1714303947.4414
MEM 3.417969 1714303947.5422
MEM 3.417969 1714303947.6427
MEM 3.417969 1714303947.7433
MEM 3.417969 1714303947.8438
MEM 3.417969 1714303947.9440
MEM 3.417969 1714303948.0446
MEM 3.417969 1714303948.1450
MEM 3.417969 1714303948.2457
MEM 3.417969 1714303948.3462
MEM 3.417969 1714303948.4465
MEM 3.417969 1714303948.5469
MEM 3.417969 1714303948.6473
MEM 3.417969 1714303948.7480
MEM 3.417969 1714303948.8483
MEM 3.417969 1714303948.9491
MEM 3.417969 1714303949.0492
MEM 3.417969 1714303949.1496
MEM 3.417969 1714303949.2499
MEM 3.417969 1714303949.3504
MEM 3.417969 1714303949.4510
MEM 3.417969 1714303949.5517
MEM 3.417969 1714303949.6524
MEM 3.417969 1714303949.7530
MEM 3.417969 1714303949.8535
MEM 3.417969 1714303949.9540
MEM 3.417969 1714303950.0546
MEM 3.417969 1714303950.1550
MEM 3.417969 1714303950.2557
MEM 3.417969 1714303950.3560
MEM 3.417969 1714303950.4564
MEM 3.417969 1714303950.5572
MEM 3.417969 1714303950.6576
MEM 3.417969 1714303950.7578
MEM 3.417969 1714303950.8582
MEM 3.417969 1714303950.9586
MEM 3.417969 1714303951.0589
MEM 3.417969 1714303951.1592
MEM 3.417969 1714303951.2594
MEM 3.417969 1714303951.3597
MEM 3.417969 1714303951.4599
